Date	Action	Direction	Protocol	Application/Service	Local IP address	Local hostname	Local port	Remote IP address	Remote hostname	Remote port	ICMP info	Kind
Dec 18, 2016, 6:24:08 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	61.137.154.165	61.137.154.165	7913		User-defined setting
Dec 18, 2016, 6:24:07 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	183.240.19.104	183.240.19.104	28861		User-defined setting
Dec 18, 2016, 6:24:06 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	183.240.19.104	183.240.19.104	39891		User-defined setting
Dec 18, 2016, 6:24:05 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	183.240.19.104	183.240.19.104	53887		User-defined setting
Dec 18, 2016, 6:24:05 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:05 PM	DENIED	Incoming	TCP	Port 14147	121.238.69.101	121.238.69.101	14147	158.69.226.192	158.69.226.192	80		User-defined setting
Dec 18, 2016, 6:24:05 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	118.113.48.125	118.113.48.125	56278		User-defined setting
Dec 18, 2016, 6:24:03 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	171.34.198.165	171.34.198.165	51391		User-defined setting
Dec 18, 2016, 6:24:01 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:23:58 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	59.54.215.51	59.54.215.51	50495		User-defined setting
Dec 18, 2016, 6:23:57 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	106.123.197.82	106.123.197.82	12955		User-defined setting
Dec 18, 2016, 6:23:57 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:23:56 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	59.54.215.51	59.54.215.51	50459		User-defined setting
Dec 18, 2016, 6:23:55 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	1.180.212.55	1.180.212.55	36527		User-defined setting
Dec 18, 2016, 6:23:54 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	123.172.53.124	123.172.53.124	21998		User-defined setting
